TableNum,column_number,column_type_1,column_type_2,column_type_3,column_type_4,column_type_5,column_type_6,column_type_7,column_type_8,column_type_9,column_type_10,column_type_11,column_type_12,column_type_13,column_type_14,column_type_15,column_type_16,column_type_17,column_type_18,column_type_19,key column
0,7,datetime,EVENT,GPE,UNKNOWN,UNKNOWN,UNKNOWN,PERSON,,,,,,,,,,,,,1
1,19,UNKNOWN,UNKNOWN,UNKNOWN,ORG,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,WORK_OF_ART,ORG,GPE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
2,8,datetime,EVENT,GPE,UNKNOWN,UNKNOWN,UNKNOWN,PERSON,UNKNOWN,,,,,,,,,,,,1
3,8,datetime,EVENT,GPE,UNKNOWN,UNKNOWN,CARDINAL,PERSON,UNKNOWN,,,,,,,,,,,,1
4,8,datetime,ORG,GPE,UNKNOWN,UNKNOWN,UNKNOWN,PERSON,,,,,,,,,,,,,1
5,9,ORDINAL,datetime,UNKNOWN,,UNKNOWN,UNKNOWN,PERSON,datetime,UNKNOWN,,,,,,,,,,,2
6,8,ORDINAL,datetime,UNKNOWN,UNKNOWN,datetime,PERSON,datetime,UNKNOWN,,,,,,,,,,,,2
7,9,ORDINAL,datetime,UNKNOWN,UNKNOWN,CARDINAL,PERSON,PERSON,datetime,UNKNOWN,,,,,,,,,,,2
8,8,CARDINAL,datetime,GPE,UNKNOWN,PERSON,PERSON,datetime,UNKNOWN,,,,,,,,,,,,2
9,7,PERSON,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,GPE,,,,,,,,,,,,,0
10,1,UNKNOWN,,,,,,,,,,,,,,,,,,,0
11,9,ORDINAL,GPE,datetime,UNKNOWN,PERSON,,datetime,datetime,UNKNOWN,,,,,,,,,,,1
