original_url,converted_url
http://en.wikipedia.org/wiki/Andy_Karl,http://en.wikipedia.org/?curid=9097368
http://en.wikipedia.org/wiki/Pooja_Ramachandran,http://en.wikipedia.org/?curid=40083067
http://en.wikipedia.org/wiki/Dyro,http://en.wikipedia.org/?curid=47238556
http://en.wikipedia.org/wiki/List_of_Chief_Ministers_of_Punjab_(India),http://en.wikipedia.org/?curid=60787093
http://en.wikipedia.org/wiki/Natalie_Cohen,Page not found
http://en.wikipedia.org/wiki/The_Piano_Lesson,http://en.wikipedia.org/?curid=1129093
http://en.wikipedia.org/wiki/2013_Italian_Athletics_Indoor_Championships,http://en.wikipedia.org/?curid=38551588
http://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Masterpiece,http://en.wikipedia.org/?curid=53115357
http://en.wikipedia.org/wiki/Alexandra_Ordolis,http://en.wikipedia.org/?curid=55054816
http://en.wikipedia.org/wiki/1939_Swiss_federal_election,http://en.wikipedia.org/?curid=35112053
http://en.wikipedia.org/wiki/List_of_colonial_Governors_and_Presidents_of_Madras,http://en.wikipedia.org/?curid=64501839
"http://en.wikipedia.org/wiki/David_Martin_(footballer,_born_1986)",http://en.wikipedia.org/?curid=3708256
http://en.wikipedia.org/wiki/List_of_Bollywood_films_of_1960,http://en.wikipedia.org/?curid=70372458
http://en.wikipedia.org/wiki/Swimming_at_the_2012_Summer_Olympics_%E2%80%93_Women's_800_metre_freestyle,http://en.wikipedia.org/?curid=34236398
http://en.wikipedia.org/wiki/Medicine_8,http://en.wikipedia.org/?curid=33811012
http://en.wikipedia.org/wiki/Estradiol_acetate,http://en.wikipedia.org/?curid=2428843
http://en.wikipedia.org/wiki/Kevin_Darley,http://en.wikipedia.org/?curid=11142903
http://en.wikipedia.org/wiki/Brooke_Adams_(actress),http://en.wikipedia.org/?curid=2087439
http://en.wikipedia.org/wiki/John_Field_(American_football),http://en.wikipedia.org/?curid=32221220
"http://en.wikipedia.org/wiki/Bhullar,_Kapurthala",http://en.wikipedia.org/?curid=51057500
http://en.wikipedia.org/wiki/Stanford_Cardinal_football,http://en.wikipedia.org/?curid=7958109
http://en.wikipedia.org/wiki/2012_Venezuelan_presidential_election,http://en.wikipedia.org/?curid=29992845
http://en.wikipedia.org/wiki/Noriko_Higuchi,http://en.wikipedia.org/?curid=56434163
http://en.wikipedia.org/wiki/Tom_Burke_(actor),http://en.wikipedia.org/?curid=7108138
http://en.wikipedia.org/wiki/Chris_Colfer,http://en.wikipedia.org/?curid=24231931
http://en.wikipedia.org/wiki/Skye_McCole_Bartusiak,http://en.wikipedia.org/?curid=2201315
http://en.wikipedia.org/wiki/List_of_churches_in_Rogaland,http://en.wikipedia.org/?curid=46477607
http://en.wikipedia.org/wiki/Mitchelle'l,http://en.wikipedia.org/?curid=44080312
http://en.wikipedia.org/wiki/Sara_Slattery,http://en.wikipedia.org/?curid=33735156
"http://en.wikipedia.org/wiki/Jack_Wilkinson_(footballer,_born_1931)",http://en.wikipedia.org/?curid=21863795
http://en.wikipedia.org/wiki/1931_Bulgarian_parliamentary_election,http://en.wikipedia.org/?curid=33692088
http://en.wikipedia.org/wiki/Eurogliders,http://en.wikipedia.org/?curid=1243636
http://en.wikipedia.org/wiki/Cate_Blanchett_on_screen_and_stage,http://en.wikipedia.org/?curid=49590223
http://en.wikipedia.org/wiki/2012_U.S._Olympic_Trials_(gymnastics),http://en.wikipedia.org/?curid=70103113
http://en.wikipedia.org/wiki/Alexis_Knapp,http://en.wikipedia.org/?curid=34969960
http://en.wikipedia.org/wiki/Dick_Tressel,http://en.wikipedia.org/?curid=56126773
http://en.wikipedia.org/wiki/Edvard_Skagestad,http://en.wikipedia.org/?curid=34879815
http://en.wikipedia.org/wiki/List_of_South_Korean_submissions_for_the_Academy_Award_for_Best_Foreign_Language_Film,http://en.wikipedia.org/?curid=62689892
"http://en.wikipedia.org/wiki/Chapra,_Nadia_(Vidhan_Sabha_constituency)",http://en.wikipedia.org/?curid=64579349
http://en.wikipedia.org/wiki/Sachiin_J._Joshi,http://en.wikipedia.org/?curid=33266798
http://en.wikipedia.org/wiki/Kristin_Chenoweth,http://en.wikipedia.org/?curid=1115791
http://en.wikipedia.org/wiki/Caro_Emerald,http://en.wikipedia.org/?curid=24961418
http://en.wikipedia.org/wiki/1957_Marquette_Warriors_football_team,http://en.wikipedia.org/?curid=60437825
http://en.wikipedia.org/wiki/Bob_Weinhauer,http://en.wikipedia.org/?curid=56940165
http://en.wikipedia.org/wiki/Marc_Rissmann,http://en.wikipedia.org/?curid=49914557
http://en.wikipedia.org/wiki/Christchurch_Country,http://en.wikipedia.org/?curid=25875406
http://en.wikipedia.org/wiki/Giulia_Conti,http://en.wikipedia.org/?curid=35986750
http://en.wikipedia.org/wiki/1945_Newport_by-election,http://en.wikipedia.org/?curid=9365042
http://en.wikipedia.org/wiki/2017_World_Championships_in_Athletics_%E2%80%93_Men's_100_metres,http://en.wikipedia.org/?curid=54706901
