Name,URL1,URL2,First Category
Pauline Pousse,https://fr.wikipedia.org/?curid=10107571,https://fr.wikipedia.org/wiki/Pauline Pousse,Article \u00e0 illustrer Athl\u00e8te
Resi Hammerer,https://fr.wikipedia.org/?curid=1013406,https://fr.wikipedia.org/wiki/Resi Hammerer,Article utilisant une Infobox
Antoinette Meyer,https://fr.wikipedia.org/?curid=1013409,https://fr.wikipedia.org/wiki/Antoinette Meyer,Wikip\u00e9dia:\u00e9bauche personnalit\u00e9 suisse
Lovisa Lindh,https://fr.wikipedia.org/?curid=10134116,https://fr.wikipedia.org/wiki/Lovisa Lindh,Wikip\u00e9dia:\u00e9bauche athl\u00e8te su\u00e9dois
Gritli Schaad,https://fr.wikipedia.org/?curid=1013422,https://fr.wikipedia.org/wiki/Gritli Schaad,Wikip\u00e9dia:\u00e9bauche sportif suisse
Amalie Iuel,https://fr.wikipedia.org/?curid=10134335,https://fr.wikipedia.org/wiki/Amalie Iuel,Wikip\u00e9dia:\u00e9bauche athl\u00e8te norv\u00e9gien
Laila Schou Nilsen,https://fr.wikipedia.org/?curid=1013438,https://fr.wikipedia.org/wiki/Laila Schou Nilsen,Wikip\u00e9dia:\u00e9bauche handballeuse norv\u00e9gienne
Anastasia Potapova,https://fr.wikipedia.org/?curid=10133645,https://fr.wikipedia.org/wiki/Anastasia Potapova,Article utilisant une Infobox
Ivona Dadic,https://fr.wikipedia.org/?curid=10133994,https://fr.wikipedia.org/wiki/Ivona Dadic,Article utilisant une Infobox
Evelyn Pinching,https://fr.wikipedia.org/?curid=1013610,https://fr.wikipedia.org/wiki/Evelyn Pinching,Article utilisant une Infobox
Elvira Osirnig,https://fr.wikipedia.org/?curid=1013612,https://fr.wikipedia.org/wiki/Elvira Osirnig,Wikip\u00e9dia:\u00e9bauche personnalit\u00e9 suisse
Gerda Paumgarten,https://fr.wikipedia.org/?curid=1013615,https://fr.wikipedia.org/wiki/Gerda Paumgarten,Article utilisant une Infobox
Grete Weikert,https://fr.wikipedia.org/?curid=1013616,https://fr.wikipedia.org/wiki/Grete Weikert,Article \u00e0 illustrer Sportif
Courtney Williams,https://fr.wikipedia.org/?curid=10136192,https://fr.wikipedia.org/wiki/Courtney Williams,Article utilisant une Infobox
Mwana Kupona,https://fr.wikipedia.org/?curid=10136472,https://fr.wikipedia.org/wiki/Mwana Kupona,Page utilisant P569
Daria Malyguina,https://fr.wikipedia.org/?curid=10165501,https://fr.wikipedia.org/wiki/Daria Malyguina,Article \u00e0 illustrer Joueur de volley-ball
Gwladys Lemoussu,https://fr.wikipedia.org/?curid=10183072,https://fr.wikipedia.org/wiki/Gwladys Lemoussu,Article utilisant une Infobox
Miljana Bojovi\u0107,https://fr.wikipedia.org/?curid=10181499,https://fr.wikipedia.org/wiki/Miljana Bojovi\u0107,Article utilisant une Infobox
Paulina Guba,https://fr.wikipedia.org/?curid=10182972,https://fr.wikipedia.org/wiki/Paulina Guba,Wikip\u00e9dia:\u00e9bauche athl\u00e8te polonais
Liste des m\u00e9daill\u00e9s aux Jeux olympiques d'\u00e9t\u00e9 de 2016,https://fr.wikipedia.org/?curid=10184851,https://fr.wikipedia.org/wiki/Liste des m\u00e9daill\u00e9s aux Jeux olympiques d'\u00e9t\u00e9 de 2016,Portail:Jeux olympiques/Articles li\u00e9s
Risa Hirako,https://fr.wikipedia.org/?curid=10188172,https://fr.wikipedia.org/wiki/Risa Hirako,Page utilisant P569
Gbahi Gwladys Sakoa,https://fr.wikipedia.org/?curid=10188175,https://fr.wikipedia.org/wiki/Gbahi Gwladys Sakoa,Article \u00e0 illustrer Escrimeur
Neslihan Atag\u00fcl,https://fr.wikipedia.org/?curid=10186121,https://fr.wikipedia.org/wiki/Neslihan Atag\u00fcl,Article \u00e0 illustrer Personnalit\u00e9 du cin\u00e9ma
Diana Taurasi,https://fr.wikipedia.org/?curid=1018681,https://fr.wikipedia.org/wiki/Diana Taurasi,Article utilisant une Infobox
Dilana,https://fr.wikipedia.org/?curid=10186852,https://fr.wikipedia.org/wiki/Dilana,Wikip\u00e9dia:\u00e9bauche chanteur sud-africain
Hwang Seon-a,https://fr.wikipedia.org/?curid=10192585,https://fr.wikipedia.org/wiki/Hwang Seon-a,Article \u00e0 illustrer Escrimeur
Mihiro Taniguchi,https://fr.wikipedia.org/?curid=10189459,https://fr.wikipedia.org/wiki/Mihiro Taniguchi,Article utilisant une Infobox
Otgontsetseg Galbadrakh,https://fr.wikipedia.org/?curid=10189774,https://fr.wikipedia.org/wiki/Otgontsetseg Galbadrakh,Wikip\u00e9dia:\u00e9bauche judo
Mary Higgins Clark,https://fr.wikipedia.org/?curid=1019425,https://fr.wikipedia.org/wiki/Mary Higgins Clark,Page utilisant P119
