TableNum,column_type_1,column_type_2,column_type_3,column_type_4,column_type_5,column_type_6,column_number,key column
0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,5,,0
1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,5,,1
3,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,5,,0
4,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,5,,1
5,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,4,,,0
6,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,4,,,0
7,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,5,,0
8,TYPOGRAPHICAL ELEMENT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,5,,1
9,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,5,,0
10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,5,,1
11,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,5,,1
12,TYPOGRAPHICAL ELEMENT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,5,,1
13,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,5,,0
14,UNKNOWN,UNKNOWN,UNKNOWN,3,,,,0
15,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,6.0,1
16,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,5,,1
17,UNKNOWN,UNKNOWN,UNKNOWN,3,,,,0
18,UNKNOWN,PERSON,UNKNOWN,PERSON,UNKNOWN,5,,1
19,UNKNOWN,PERSON,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,6.0,0
20,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,6.0,1
21,UNKNOWN,PERSON,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,6.0,0
