TableNum,column_number,column_type_1,column_type_2,column_type_3,column_type_4,column_type_5,column_type_6,column_type_7,key column
0,6,ORG,CARDINAL,CARDINAL,CARDINAL,TIME,RANGE,,0
1,5,UNKNOWN,,,,,,,0
2,7,ORDINAL,,ORG,UNKNOWN,ORG,,UNKNOWN,2
3,7,CARDINAL,,GPE,ORG,ORG,,UNKNOWN,2
4,7,CARDINAL,,GPE,UNKNOWN,GPE,,UNKNOWN,2
5,7,CARDINAL,,GPE,ORG,GPE,,UNKNOWN,2
6,7,CARDINAL,,FAC,ORG,ORG,,UNKNOWN,2
8,7,CARDINAL,,GPE,EVENT,GPE,,UNKNOWN,2
9,7,CARDINAL,,GPE,EVENT,GPE,,UNKNOWN,2
10,7,CARDINAL,,FAC,EVENT,GPE,,UNKNOWN,3
