TableNum,column_number,column_type_1,column_type_2,column_type_3,column_type_4,key column
0,4,datetime,UNKNOWN,UNKNOWN,UNKNOWN,1
1,4,datetime,PERSON,UNKNOWN,UNKNOWN,1
2,4,datetime,PERSON,UNKNOWN,UNKNOWN,2
3,4,datetime,PERSON,UNKNOWN,UNKNOWN,1
4,4,datetime,PERSON,WORK_OF_ART,UNKNOWN,1
5,4,datetime,PERSON,UNKNOWN,UNKNOWN,1
6,4,datetime,PERSON,UNKNOWN,UNKNOWN,2
7,4,datetime,PERSON,UNKNOWN,UNKNOWN,1
8,4,datetime,PERSON,UNKNOWN,UNKNOWN,1
9,4,datetime,UNKNOWN,UNKNOWN,UNKNOWN,1
10,4,datetime,UNKNOWN,UNKNOWN,UNKNOWN,1
11,4,datetime,PERSON,UNKNOWN,UNKNOWN,1
12,4,datetime,UNKNOWN,UNKNOWN,UNKNOWN,2
13,4,datetime,UNKNOWN,UNKNOWN,UNKNOWN,1
14,4,datetime,PERSON,UNKNOWN,UNKNOWN,1
15,4,datetime,PERSON,UNKNOWN,UNKNOWN,1
16,4,datetime,UNKNOWN,UNKNOWN,UNKNOWN,1
17,4,datetime,UNKNOWN,UNKNOWN,UNKNOWN,1
18,4,datetime,UNKNOWN,UNKNOWN,UNKNOWN,1
19,4,datetime,UNKNOWN,UNKNOWN,UNKNOWN,1
