TableNum,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,key column
0,PERSON,UNKNOWN,FAC,PERSON,,,,,0
1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PERSON,0
2,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,0
3,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,,,,1
4,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,1
5,TYPOGRAPHICAL ELEMENT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,1
6,TYPOGRAPHICAL ELEMENT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,1
7,TYPOGRAPHICAL ELEMENT,FAC,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,1
8,PERSON,PERSON,UNKNOWN,UNKNOWN,,,,,0
9,TYPOGRAPHICAL ELEMENT,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,,,1
10,UNKNOWN,PERSON,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,,,0
11,TYPOGRAPHICAL ELEMENT,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,TYPOGRAPHICAL ELEMENT,,,1
12,TYPOGRAPHICAL ELEMENT,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,1
13,UNKNOWN,PERSON,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,,,1
14,UNKNOWN,PERSON,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,,,1
