TableNum,column_type_1,column_type_2,column_type_3,column_type_4,column_type_5,column_type_6,column_type_7,column_type_8,column_type_9,column_type_10,column_type_11,column_type_12,column_type_13,column_type_14,column_type_15,column_type_16,column_type_17,column_type_18,column_type_19,column_type_20,column_type_21,column_type_22,column_type_23,column_type_24,column_type_25,column_type_26,column_type_27,column_type_28,column_type_29,column_type_30,column_type_31,column_type_32,column_type_33,column_type_34,column_type_35,column_type_36,column_type_37,column_type_38,column_type_39,column_type_40,column_type_41,column_type_42,column_type_43,column_type_44,column_type_45,column_type_46,column_type_47,column_type_48,column_type_49,column_type_50,column_type_51,column_type_52,column_type_53,column_type_54,column_type_55,column_type_56,column_type_57,column_type_58,column_type_59,column_type_60,column_type_61,column_type_62,column_type_63,column_type_64,column_type_65,column_type_66,column_type_67,column_type_68,column_type_69,column_type_70,column_type_71,column_type_72,column_type_73,column_type_74,column_type_75,column_type_76,column_type_77,column_type_78,column_type_79,column_type_80,column_type_81,column_type_82,column_type_83,column_type_84,column_type_85,column_type_86,column_type_87,column_type_88,column_type_89,column_type_90,column_type_91,column_type_92,column_type_93,column_type_94,column_type_95,column_type_96,column_type_97,column_type_98,column_type_99,column_type_100,column_type_101,column_type_102,column_type_103,column_type_104,column_type_105,column_type_106,column_type_107,column_type_108,column_type_109,column_type_110,column_type_111,column_type_112,column_type_113,column_type_114,column_type_115,column_type_116,column_type_117,column_type_118,column_type_119,column_type_120,column_type_121,column_type_122,column_type_123,column_type_124,column_type_125,column_type_126,column_type_127,column_type_128,column_type_129,column_type_130,column_type_131,column_type_132,column_type_133,column_type_134,column_type_135,column_type_136,column_type_137,column_type_138,column_type_139,column_type_140,column_type_141,column_type_142,column_type_143,column_type_144,column_type_145,column_type_146,column_type_147,column_type_148,column_type_149,column_type_150,column_type_151,column_type_152,column_type_153,column_type_154,column_type_155,column_type_156,column_type_157,column_type_158,column_type_159,column_type_160,column_type_161,column_type_162,column_type_163,column_type_164,column_type_165,column_type_166,column_type_167,column_type_168,column_type_169,column_type_170,column_type_171,column_type_172,column_type_173,column_type_174,column_type_175,column_type_176,column_type_177,column_type_178,column_type_179,column_type_180,column_type_181,column_type_182,column_type_183,column_type_184,column_type_185,column_type_186,column_type_187,column_type_188,column_type_189,column_type_190,column_type_191,column_type_192,column_type_193,column_type_194,column_type_195,column_type_196,column_type_197,column_type_198,column_type_199,column_type_200,column_type_201,column_type_202,column_type_203,column_type_204,column_type_205,column_type_206,column_type_207,column_type_208,column_type_209,column_type_210,column_type_211,column_type_212,column_type_213,column_type_214,column_type_215,column_type_216,column_type_217,column_type_218,column_type_219,column_type_220,column_type_221,column_type_222,column_type_223,column_type_224,column_type_225,column_type_226,column_type_227,column_type_228,column_type_229,column_type_230,column_type_231,column_type_232,column_type_233,column_type_234,column_type_235,column_type_236,column_type_237,column_type_238,column_type_239,column_type_240,column_type_241,column_type_242,column_type_243,column_type_244,column_type_245,column_type_246,column_type_247,column_type_248,column_type_249,column_type_250,column_type_251,column_type_252,column_type_253,column_type_254,column_type_255,column_type_256,column_type_257,column_type_258,column_type_259,column_type_260,column_type_261,column_type_262,column_type_263,column_type_264,column_type_265,column_type_266,column_type_267,column_type_268,column_type_269,column_type_270,column_type_271,column_type_272,column_type_273,column_type_274,column_type_275,column_type_276,column_type_277,column_type_278,column_type_279,column_type_280,column_type_281,column_type_282,column_type_283,column_type_284,column_type_285,column_type_286,column_type_287,column_type_288,column_type_289,column_type_290,column_type_291,column_type_292,column_type_293,column_type_294,column_type_295,column_type_296,column_type_297,column_type_298,column_type_299,column_type_300,column_type_301,column_type_302,column_type_303,column_type_304,column_type_305,column_type_306,column_type_307,column_type_308,column_type_309,column_type_310,column_type_311,column_type_312,column_number,key column
0,datetime,UNKNOWN,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,UNKNOWN,UNKNOWN,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,ORG,UNKNOWN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,ORG,UNKNOWN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,UNKNOWN,UNKNOWN,CARDINAL,CARDINAL,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,UNKNOWN,datetime,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,312.0,0
5,UNKNOWN,UNKNOWN,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,UNKNOWN,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
6,WORK_OF_ART,datetime,CARDINAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
8,UNKNOWN,datetime,UNKNOWN,UNKNOWN,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
9,,UNKNOWN,UNKNOWN,PERSON,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10,datetime,CARDINAL,WORK_OF_ART,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
