TableNum,column_type_1,column_type_2,column_type_3,column_type_4,column_type_5,column_type_6,column_type_7,column_type_8,column_type_9,column_number,key column
0,GPE,GPE,PERSON,GPE,4,,,,,,0
1,GPE,GPE,PERSON,GPE,4,,,,,,0
2,UNKNOWN,PERSON,PERSON,GPE,PERSON,PERSON,GPE,7,,,0
3,UNKNOWN,PERSON,PERSON,PERSON,PERSON,PERSON,6,,,,0
4,GPE,PERSON,PERSON,PERSON,4,,,,,,0
5,GPE,PERSON,PERSON,GPE,4,,,,,,0
6,GPE,PERSON,GPE,PERSON,4,,,,,,0
7,UNKNOWN,PERSON,PERSON,PERSON,PERSON,PERSON,GPE,7,,,0
8,UNKNOWN,GPE,PERSON,GPE,PERSON,GPE,6,,,,0
9,GPE,PERSON,PERSON,PERSON,4,,,,,,0
10,UNKNOWN,PERSON,PERSON,PERSON,4,,,,,,0
11,CARDINAL,PERSON,,datetime,datetime,CARDINAL,CARDINAL,CARDINAL,CARDINAL,9.0,1
12,CARDINAL,PERSON,,datetime,datetime,CARDINAL,CARDINAL,CARDINAL,CARDINAL,9.0,1
