TableNum,column_type_1,column_type_2,column_type_3,column_type_4,column_type_5,column_type_6,column_type_7,column_type_8,column_type_9,column_type_10,column_type_11,column_type_12,column_type_13,column_type_14,column_number,key column
0,datetime,EVENT,GPE,UNKNOWN,UNKNOWN,UNKNOWN,PERSON,,8,,,,,,,1
1,datetime,UNKNOWN,PERSON,CARDINAL,PERSON,CARDINAL,PERSON,CARDINAL,PERSON,9,,,,,,2
2,datetime,UNKNOWN,PERSON,UNKNOWN,PERSON,UNKNOWN,PERSON,UNKNOWN,PERSON,9,,,,,,1
3,ORDINAL,datetime,ORG,,UNKNOWN,UNKNOWN,PERSON,datetime,UNKNOWN,9,,,,,,2
4,ORDINAL,datetime,UNKNOWN,UNKNOWN,UNKNOWN,PERSON,datetime,UNKNOWN,8,,,,,,,2
5,CARDINAL,datetime,GPE,UNKNOWN,PERSON,PERSON,datetime,UNKNOWN,8,,,,,,,2
6,UNKNOWN,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,,,CARDINAL,14.0,0
7,UNKNOWN,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,6,,,,,,,,,0
8,ORDINAL,PERSON,datetime,PERSON,CARDINAL,CARDINAL,6,,,,,,,,,1
9,PERSON,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,EVENT,7,,,,,,,,0
