TableNum,column_number,column_type_1,column_type_2,column_type_3,column_type_4,column_type_5,column_type_6,key column
0,6,datetime,UNKNOWN,PERSON,PERSON,PERSON,UNKNOWN,1
1,5,TIME,UNKNOWN,PERSON,FAC,UNKNOWN,,1
2,4,datetime,UNKNOWN,UNKNOWN,,,,2
3,4,datetime,UNKNOWN,ORG,,,,1
4,4,datetime,UNKNOWN,ORG,,,,1
5,4,datetime,UNKNOWN,ORG,,,,1
6,4,datetime,UNKNOWN,UNKNOWN,,,,1
7,4,datetime,UNKNOWN,UNKNOWN,,,,1
8,4,datetime,UNKNOWN,PERSON,,,,1
9,4,datetime,UNKNOWN,UNKNOWN,,,,1
10,4,datetime,UNKNOWN,UNKNOWN,UNKNOWN,,,1
11,4,datetime,UNKNOWN,PERSON,,,,1
12,4,datetime,UNKNOWN,UNKNOWN,,,,1
13,4,datetime,UNKNOWN,PERSON,,,,1
14,4,datetime,UNKNOWN,UNKNOWN,,,,2
15,4,datetime,UNKNOWN,UNKNOWN,,,,1
16,4,datetime,UNKNOWN,ORG,,,,1
17,4,datetime,UNKNOWN,UNKNOWN,,,,2
18,4,datetime,UNKNOWN,UNKNOWN,,,,1
19,4,datetime,EVENT,UNKNOWN,,,,1
20,4,datetime,FAC,UNKNOWN,,,,2
21,4,datetime,UNKNOWN,UNKNOWN,,,,1
22,4,RANGE,UNKNOWN,GPE,,,,1
23,4,datetime,UNKNOWN,UNKNOWN,,,,1
24,4,datetime,UNKNOWN,,,,,1
