TableNum,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,key column
0,datetime,UNKNOWN,PERSON,UNKNOWN,PERSON,CARDINAL,PERSON,CARDINAL,PERSON,,,,,,,,,,,,,,,,2.0
1,datetime,UNKNOWN,PERSON,UNKNOWN,PERSON,UNKNOWN,PERSON,UNKNOWN,PERSON,,,,,,,,,,,,,,,,1.0
2,datetime,UNKNOWN,PERSON,UNKNOWN,PERSON,UNKNOWN,PERSON,UNKNOWN,PERSON,,,,,,,,,,,,,,,,
3,ORDINAL,datetime,UNKNOWN,,UNKNOWN,UNKNOWN,PERSON,datetime,UNKNOWN,,,,,,,,,,,,,,,,2.0
4,ORDINAL,datetime,UNKNOWN,,UNKNOWN,UNKNOWN,PERSON,PERSON,datetime,UNKNOWN,,,,,,,,,,,,,,,2.0
5,ORDINAL,datetime,UNKNOWN,UNKNOWN,datetime,PERSON,datetime,UNKNOWN,,,,,,,,,,,,,,,,,2.0
6,ORDINAL,datetime,UNKNOWN,UNKNOWN,UNKNOWN,PERSON,PERSON,datetime,UNKNOWN,,,,,,,,,,,,,,,,2.0
7,CARDINAL,datetime,GPE,UNKNOWN,PERSON,PERSON,CARDINAL,UNKNOWN,,,,,,,,,,,,,,,,,2.0
8,UNKNOWN,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,,,,CARDINAL,CARDINAL,,,,,,,,,,0.0
9,UNKNOWN,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,,,,,CARDINAL,,,,,,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,0.0
10,ORDINAL,PERSON,datetime,PERSON,CARDINAL,CARDINAL,,,,,,,,,,,,,,,,,,,1.0
11,ORDINAL,PERSON,datetime,PERSON,CARDINAL,CARDINAL,,,,,,,,,,,,,,,,,,,1.0
