TableNum,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,key column
0,datetime,EVENT,GPE,UNKNOWN,UNKNOWN,UNKNOWN,PERSON,,,,,,,,,,,,,1
1,UNKNOWN,UNKNOWN,UNKNOWN,ORG,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,WORK_OF_ART,ORG,GPE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
2,datetime,EVENT,GPE,UNKNOWN,UNKNOWN,UNKNOWN,PERSON,UNKNOWN,,,,,,,,,,,,1
3,datetime,EVENT,GPE,UNKNOWN,UNKNOWN,CARDINAL,PERSON,UNKNOWN,,,,,,,,,,,,1
4,datetime,ORG,GPE,UNKNOWN,UNKNOWN,UNKNOWN,PERSON,,,,,,,,,,,,,1
5,ORDINAL,datetime,UNKNOWN,,UNKNOWN,UNKNOWN,PERSON,datetime,UNKNOWN,,,,,,,,,,,2
6,ORDINAL,datetime,UNKNOWN,UNKNOWN,datetime,PERSON,datetime,UNKNOWN,,,,,,,,,,,,2
7,ORDINAL,datetime,UNKNOWN,UNKNOWN,CARDINAL,PERSON,PERSON,datetime,UNKNOWN,,,,,,,,,,,2
8,CARDINAL,datetime,GPE,UNKNOWN,PERSON,PERSON,datetime,UNKNOWN,,,,,,,,,,,,2
9,PERSON,CARDINAL,CARDINAL,CARDINAL,CARDINAL,CARDINAL,GPE,,,,,,,,,,,,,0
10,UNKNOWN,,,,,,,,,,,,,,,,,,,0
11,ORDINAL,GPE,datetime,UNKNOWN,PERSON,,datetime,datetime,UNKNOWN,,,,,,,,,,,1
