_index,_id,_source.name,_source.nbPages,_source.children,_source.updatedDate
corpus_cat_personnalitesfeminines100_fr,Portail:Séries télévisées/Articles liés,Portail:Séries télévisées/Articles liés,30391,[],2023-10-01T00:00:00
corpus_cat_personnalitesfeminines100_fr,Élève de l'Institut d'études politiques de Paris,Élève de l'Institut d'études politiques de Paris,1669,"[""Docteur de l'Institut d'études politiques de Paris""]",2023-10-01T00:00:00
corpus_cat_personnalitesfeminines100_fr,Naissance à Garmisch-Partenkirchen,Naissance à Garmisch-Partenkirchen,44,[],2023-10-01T00:00:00
corpus_cat_personnalitesfeminines100_fr,Page utilisant Lien pour un article existant,Page utilisant Lien pour un article existant,7701,[],2023-10-01T00:00:00
corpus_cat_personnalitesfeminines100_fr,Portail:Naples/Articles liés,Portail:Naples/Articles liés,1423,[],2023-10-01T00:00:00
corpus_cat_personnalitesfeminines100_fr,Naissance à Rocourt,Naissance à Rocourt,31,[],2023-10-01T00:00:00
corpus_cat_personnalitesfeminines100_fr,Portail:Cinéma américain/Articles liés,Portail:Cinéma américain/Articles liés,51122,[],2023-10-01T00:00:00
corpus_cat_personnalitesfeminines100_fr,Bon article en azéri,Bon article en azéri,250,[],2023-10-01T00:00:00
corpus_cat_personnalitesfeminines100_fr,Portail:Ski/Articles liés,Portail:Ski/Articles liés,8361,[],2023-10-01T00:00:00
corpus_cat_personnalitesfeminines100_fr,Portail:Biathlon/Articles liés,Portail:Biathlon/Articles liés,1472,[],2023-10-01T00:00:00
corpus_cat_personnalitesfeminines100_fr,Portail:Biographie/Articles liés/Culture et arts,Portail:Biographie/Articles liés/Culture et arts,259262,"['Portail:Biographie/Articles liés/Peinture', 'Portail:Biographie/Articles liés/Photographie', 'Portail:Biographie/Articles liés/Gravure']",2023-10-01T00:00:00
corpus_cat_personnalitesfeminines100_fr,Portail:Biographie/Articles liés/Militaire,Portail:Biographie/Articles liés/Militaire,30677,[],2023-10-01T00:00:00
corpus_cat_personnalitesfeminines100_fr,Ministre français du Travail (ou des Affaires sociales),Ministre français du Travail (ou des Affaires sociales),103,"['Ministre français des Pensions', 'Ministre français de la Qualité de la vie', ""Ministre français de l'Emploi""]",2023-10-01T00:00:00
corpus_cat_personnalitesfeminines100_fr,Naissance dans la préfecture de Hokkaidō,Naissance dans la préfecture de Hokkaidō,102,"['Naissance à Kushiro', 'Naissance à Hokkaidō par sous-préfecture']",2023-10-01T00:00:00
corpus_cat_personnalitesfeminines100_fr,Femme membre du cabinet présidentiel des États-Unis,Femme membre du cabinet présidentiel des États-Unis,46,[],2023-10-01T00:00:00
corpus_cat_personnalitesfeminines100_fr,Étudiant de l'université de Göttingen,Étudiant de l'université de Göttingen,547,[],2023-10-01T00:00:00
corpus_cat_personnalitesfeminines100_fr,Projet:Mathématiques/Articles,Projet:Mathématiques/Articles,18590,[],2023-10-01T00:00:00
corpus_cat_personnalitesfeminines100_fr,Portail:Époque moderne/Articles liés,Portail:Époque moderne/Articles liés,40481,[],2023-10-01T00:00:00
corpus_cat_personnalitesfeminines100_fr,Portail:Lumières/Articles liés,Portail:Lumières/Articles liés,672,[],2023-10-01T00:00:00
corpus_cat_personnalitesfeminines100_fr,Discographie d'artiste américain,Discographie d'artiste américain,224,[],2023-10-01T00:00:00
corpus_cat_personnalitesfeminines100_fr,Portail:Politique française/Articles liés,Portail:Politique française/Articles liés,41012,[],2023-10-01T00:00:00
corpus_cat_personnalitesfeminines100_fr,Portail:Empire russe/Articles liés,Portail:Empire russe/Articles liés,3405,[],2023-10-01T00:00:00
corpus_cat_personnalitesfeminines100_fr,Professeur à l'université de Göttingen,Professeur à l'université de Göttingen,216,[],2023-10-01T00:00:00
corpus_cat_personnalitesfeminines100_fr,Député européen élu en France 2009-2014,Député européen élu en France 2009-2014,88,[],2023-10-01T00:00:00
corpus_cat_personnalitesfeminines100_fr,Député européen élu en France 1979-1984,Député européen élu en France 1979-1984,120,[],2023-10-01T00:00:00
corpus_cat_personnalitesfeminines100_fr,Athlète (femme) aux Jeux olympiques d'été de 2004,Athlète (femme) aux Jeux olympiques d'été de 2004,544,[],2023-10-01T00:00:00
corpus_cat_personnalitesfeminines100_fr,Vainqueur de coupe du monde d'escalade femme,Vainqueur de coupe du monde d'escalade femme,23,[],2023-10-01T00:00:00
corpus_cat_personnalitesfeminines100_fr,Portail:Académie française/Articles liés,Portail:Académie française/Articles liés,1073,[],2023-10-01T00:00:00
