URL,title,table_id,matched_title,title_similarity,table_similarity,overall_similarity
http://en.wikipedia.org/?curid=7037331,Będzin County - Administrative division,5686cfc8-5890-416e-96e2-15a8c34f11f2,Będzin County,50.0,0.0,20
http://en.wikipedia.org/?curid=27752138,Patricia Hoskins - Mississippi Valley State University statistics,4dce7386-b869-4d78-aa6d-4124a9b7b9de,Mississippi Valley State...,52.0,0.0,20
http://en.wikipedia.org/?curid=3848862,Muhsin Corbbrey,469e289e-fb18-4086-a1db-2094834b66bc,Nick Diaz,17.0,29.0,24
http://en.wikipedia.org/?curid=2701987,Labour Party of Scotland - Local government,22790f54-98ca-4823-bd30-5a59c0410170,Scottish Labour,21.0,29.0,25
http://en.wikipedia.org/?curid=12812683,List of rulers of Galicia and Volhynia - Rurik Dynasty,1f4f32d4-c26f-4ea1-98ad-89222c4c5b04,List of leaders of Ukraine,48.0,15.0,28
http://en.wikipedia.org/?curid=1836153,Unity Labour Party - House of Assembly elections,92e8e7cf-feda-4361-8abe-f88bc53fe46f,Unity Labour Party,55.0,12.0,29
http://en.wikipedia.org/?curid=2809537,Carlos Andino,3114f927-b7e6-4c50-b730-247f24d20f00,Zuluzinho,36.0,26.0,30
http://en.wikipedia.org/?curid=72706017,Shaw Charity Classic - Winners,611b4f12-7645-4965-bbf1-8da7f5aab649,2023 PGA Tour Champions season,33.0,30.0,31
http://en.wikipedia.org/?curid=22757822,Wind power in the Republic of Ireland - 5 largest onshore wind farms,c33afd39-c900-4feb-81f7-d823900270f4,Offshore wind power,32.0,31.0,31
http://en.wikipedia.org/?curid=16314015,Singspiel Stakes - Winners of the Singspiel Stakes,f8613a28-1680-4672-b658-8198d4353e85,Singspiel Stakes,48.0,23.0,33
http://en.wikipedia.org/?curid=9936032,List of scandals in India - Notable scandals,6de9f2be-f106-447e-88a3-dc3c523bcf4a,Public Provident Fund (India),36.0,31.0,33
http://en.wikipedia.org/?curid=1857804,Coast Province - Population data,9e4ded30-a9d9-4d98-ae88-8a7c4c9bb823,Oro Province,45.0,27.0,34
http://en.wikipedia.org/?curid=22757822,Wind farm - Offshore,7cd0598c-9110-4b92-89de-ebd9fead1c28,Offshore wind power,41.0,30.0,34
http://en.wikipedia.org/?curid=16380780,1995 Atp Super 9,560367de-0ec3-411b-9cbf-89c16f1f2d3c,"1995 ATP Championship Series, Single Week",49.0,27.0,35
http://en.wikipedia.org/?curid=54364104,National Arena League - Current members,a3bb47e4-1d4c-4fa0-93ea-8d1dc1f4ce43,American Arena League,47.0,27.0,35
http://en.wikipedia.org/?curid=31743,Peak Uranium,b2cbde1d-ce0a-42df-8dbc-0358174dcd4c,Uranium,74.0,10.0,35
http://en.wikipedia.org/?curid=11561548,List Of Video Game Emulators,d5aa3cbb-90a2-451f-bb8d-a5c06665e236,List of video game console emulators,88.0,0.0,35
http://en.wikipedia.org/?curid=1602858,Choi Kyung - Ju,c1cec7f5-cae7-408e-a507-82a9fbfcb1ea,K. J. Choi,32.0,38.0,35
http://en.wikipedia.org/?curid=48522681,Bindki (Assembly constituency) - Member of Legislative Assembly,4bb98db9-5e37-4144-b93a-1631e8ae3bdd,Mant Assembly constituency,52.0,25.0,35
http://en.wikipedia.org/?curid=29545336,Skins (North American Tv Series),765ee3a0-c7d8-47fb-a3d5-d1eab379ece1,Skins (American TV series),90.0,1.0,36
http://en.wikipedia.org/?curid=5735647,Lego Castle - Forestmen (1987–1992),5de5a027-51ae-46a4-bcf9-61846afe8f1e,Lego Castle,48.0,0.0,19
