URL,title,table_id,matched_title,title_similarity,table_similarity,overall_similarity
http://en.wikipedia.org/?curid=31565827,List of Rosenborg BK records and statistics - Transfer fee records,476e3213-2286-481d-8404-55e23f524d82,List of Rosenborg BK records and statistics,79,74,76
http://en.wikipedia.org/?curid=16729094,2007 Ipc Ice Sledge Hockey European Championships,d52892a7-4bf8-4ddb-ade3-99cf45fc28f9,2007 IPC Ice Sledge Hockey European Championships,100,88,92
http://en.wikipedia.org/?curid=16459982,Mid - West Athletic Conference,4c1f5529-00e8-4eb9-aa14-c551933d5b56,Mid-West Athletic Conference,97,29,56
http://en.wikipedia.org/?curid=1413427,National Assembly of South Africa - History,8114f23e-fd01-4820-b9ab-fe2b5672e7d0,National Assembly of South Africa,87,100,94
http://en.wikipedia.org/?curid=362662,List of best-selling singles - 5–5.99 million copies,17cbaa3b-88a8-47cd-bc2c-874dbb6346bc,Brit Awards,13,51,35
http://en.wikipedia.org/?curid=28174159,List of TriMet transit centers - Former transit centers,02f66bb6-ebb2-40bc-9b61-e7a7ee9455cc,List of TriMet transit centers,71,98,87
http://en.wikipedia.org/?curid=33527929,List of flag bearers for Cyprus at the Olympics - ,bc8751a5-cc19-4504-9524-effd18490a36,List of flag bearers for Cyprus at the Olympics,97,31,57
http://en.wikipedia.org/?curid=48494313,List of Australasian boxing champions - Cruiserweight,f3cb3c61-37e3-4aa6-bb54-b08d47ee3dad,List of Australian cruiserweight boxing champions,69,27,43
http://en.wikipedia.org/?curid=33677925,"Dennis Taylor - Ranking finals: 6 (2 titles, 4 runner-ups)",0aa62753-0796-4784-a5e5-801e4e859a0c,Dennis Taylor,37,97,73
http://en.wikipedia.org/?curid=33530343,List of flag bearers for Lithuania at the Olympics - ,303e35ad-5343-4c8a-89fd-b195d1f3498c,List of flag bearers for Lithuania at the Olympics,97,48,67
