URL,title,table_id,matched_title,title_similarity,table_similarity,overall_similarity
http://en.wikipedia.org/?curid=16388478,2002 Wizard Home Loans Cup,99641f5e-0643-42bc-b4c7-80bcdd9de6d2,2002 Wizard Home Loans Cup,100,71,82
http://en.wikipedia.org/?curid=36624652,List of Ortsbezirke of Frankfurt am Main - List,e96cd4de-ff1d-441c-8658-13ca9e459c7f,List of Ortsbezirke of Frankfurt am Main,92,100,96
http://en.wikipedia.org/?curid=14175075,Iowa Corn Cy - Hawk Series,17d6adb3-4304-4135-bd80-f677cfc72656,Iowa Corn Cy-Hawk Series,96,99,97
http://en.wikipedia.org/?curid=23696862,November Nine - 2014,ed5ef5c2-060d-4320-aba6-6b30a150e777,November Nine,79,87,83
http://en.wikipedia.org/?curid=11486671,2007 Tampa Bay Storm Season,1217fe84-70b8-42d9-bdba-d3beeb248361,2007 Tampa Bay Storm season,100,86,91
http://en.wikipedia.org/?curid=19680,Mario Kart - Reception,189e8378-1ab6-43a7-91da-f470de16e2b6,Mario Kart,62,94,81
http://en.wikipedia.org/?curid=33623490,List of best-selling Christmas singles in the United States - Best-selling Christmas singles,e21ef4a3-e3fa-4452-9dfc-2021796f5c22,List of best-selling Christmas singles in the United States,78,76,76
http://en.wikipedia.org/?curid=2786412,Somebody Told Me - Accolades,aa718347-5535-4e68-a4c0-a6c77578def0,Somebody Told Me,73,97,87
http://en.wikipedia.org/?curid=14887355,"List of tallest buildings in Aurora, Colorado - Tallest buildings",b62d9d41-a32c-404c-8f6b-3b6d6a6223a9,List of tallest buildings in Denver,60,18,34
http://en.wikipedia.org/?curid=24471626,Poland in the Eurovision Song Contest 2010 - Krajowe Eliminacje 2010,33aa3c28-1940-4a5c-8be6-2e8735d7f354,Poland in the Eurovision Song Contest 2010,76,100,90
