URL,title,table_id,matched_title,title_similarity,table_similarity,overall_similarity
http://en.wikipedia.org/?curid=16787899,C9orf50 - Homologs,0d91db3f-ce37-4cfb-a379-35d70ccb772a,Shannon Golds,0.0,0.0,0.0
http://en.wikipedia.org/?curid=42061190,C9orf50 - Homologs,0d91db3f-ce37-4cfb-a379-35d70ccb772a,61st NHK Cup (shogi),0.0,0.0,0.0
http://en.wikipedia.org/?curid=28611996,Largest cervids - ,f2cbea40-5aba-468e-a203-70aa56d4e239,South London derby,0.0,0.0,0.0
http://en.wikipedia.org/?curid=28611996,List Of Olympic Records In Archery,25003351-2227-47ae-b385-fbdf18b0d715,South London derby,0.0,0.0,0.0
http://en.wikipedia.org/?curid=11237868,List of cities in Nepal - Sub-metropolitan city (उप-महानगरपालिका),3f233343-6c30-426a-8594-5575851a3094,Ghorahi,3.0,11.0,7.0
http://en.wikipedia.org/?curid=11237868,List of cities in Nepal - Sub-metropolitan city (उप-महानगरपालिका),88b34a62-91e9-4e14-b35a-c6c6d713764e,Ghorahi,3.0,11.0,7.0
http://en.wikipedia.org/?curid=11237868,List of cities in Nepal - Sub-metropolitan city (उप-महानगरपालिका),baa1b4be-1259-4ea9-8103-0c445382955e,Ghorahi,3.0,11.0,7.0
http://en.wikipedia.org/?curid=424008,2-6-0+0-6-2 - Overview,e1499f44-ce5c-4e51-8806-d11145d59f45,0-6-0,30.0,0.0,12.0
http://en.wikipedia.org/?curid=1765397,2-8-0+0-8-2 - Overview,f0187607-2c7b-4df8-aeb3-7dcf489330e6,WD Austerity 2-8-0,25.0,5.0,13.0
http://en.wikipedia.org/?curid=42571,Speed SFX - Further details,2936d508-b073-437f-814c-6a5315162e18,The Wheel of Time,32.0,1.0,13.0
http://en.wikipedia.org/?curid=5373894,List of mountains and hills of Japan by height - Mountains over 3000 meters,89451008-76d3-47b6-939f-d86cc1f8c587,List of mountain lists,37.0,0.0,14.0
http://en.wikipedia.org/?curid=1090642,2-8-0+0-8-2 - Overview,f0187607-2c7b-4df8-aeb3-7dcf489330e6,2-8-0,37.0,0.0,14.0
http://en.wikipedia.org/?curid=5373894,List of mountains and hills of Japan by height - Mountains over 3000 meters,f2d65b64-b90d-466d-af2d-2b4a7c81605b,List of mountain lists,37.0,0.0,14.0
http://en.wikipedia.org/?curid=24418525,Dykt,1b8c1df8-7dff-45c3-9756-41b760b973ad,DYLL-FM,36.0,0.0,14.0
http://en.wikipedia.org/?curid=1246822,List of busiest railway stations in North America - List of busiest railway stations by annual passenger and commuter rail volume,c9999671-3c69-4ed3-adba-aa7bf7f2fb2d,MBTA Commuter Rail,23.0,8.0,14.0
http://en.wikipedia.org/?curid=1246822,List of busiest railway stations in North America - List of busiest railway stations by annual passenger and commuter rail volume,c1c4f12c-90a0-412c-93ba-182edd6eb5e5,MBTA Commuter Rail,23.0,8.0,14.0
http://en.wikipedia.org/?curid=1246822,List of busiest railway stations in North America - List of busiest railway stations by annual passenger and commuter rail volume,cbc42dab-e450-4b69-aacd-428e74706244,MBTA Commuter Rail,23.0,8.0,14.0
http://en.wikipedia.org/?curid=43671869,List of Sri Lankan monarchs - House of Lambakanna I (66–436),4b293b9a-1480-47a8-b422-cc02b0ce25f9,List of years in Sri Lanka,40.0,0.0,16.0
http://en.wikipedia.org/?curid=16127858,Project 21900 icebreaker - List of project 21900/21900M icebreakers,c095dd56-ac00-4539-a1a6-17b07a91dab0,List of icebreakers,44.0,0.0,17.0
http://en.wikipedia.org/?curid=53366315,List of yachts built by Palmer Johnson - 2006 - Present,39096be8-f488-482a-971d-544b89a63a5e,List of Banijay Entertainment programs,43.0,0.0,17.0
http://en.wikipedia.org/?curid=73700609,"List of tallest buildings in Aurora, Colorado - Tallest buildings",b62d9d41-a32c-404c-8f6b-3b6d6a6223a9,List of Colorado-related lists,44.0,0.0,17.0
http://en.wikipedia.org/?curid=334569,T. C. Williams High School - Test scores,cf09d4c5-b40d-4114-9649-d3bbe6380216,Alexandria City High School,45.0,0.0,18.0
http://en.wikipedia.org/?curid=334569,T. C. Williams High School - Test scores,3d58c121-68e7-404f-9a9e-ea31efd4d3c4,Alexandria City High School,45.0,0.0,18.0
http://en.wikipedia.org/?curid=5735647,Lego Castle - Forestmen (1987–1992),98216e28-baa2-4b96-8d4d-3ea270cf24a5,Lego Castle,48.0,0.0,19.0
http://en.wikipedia.org/?curid=630463,Force One Iron League Junior Heavyweight Championship,b7efc2ce-c9f6-4516-9c43-fdd7f7b5988a,WWE Championship,43.0,4.0,19.0
http://en.wikipedia.org/?curid=5735647,Lego Castle - Forestmen (1987–1992),5de5a027-51ae-46a4-bcf9-61846afe8f1e,Lego Castle,48.0,0.0,19.0
http://en.wikipedia.org/?curid=1200136,List of cities in Nepal - Metropolitan city (महानगरपालिका),51add65c-77a1-4032-b46c-e0d5f6ade2cb,Biratnagar,15.0,22.0,19.0
http://en.wikipedia.org/?curid=1200136,List of cities in Nepal - Metropolitan city (महानगरपालिका),fbb3e82a-edb6-479c-86be-beba1af7bf1a,Biratnagar,15.0,22.0,19.0
http://en.wikipedia.org/?curid=67294481,Patricia Hoskins - Mississippi Valley State University statistics,4dce7386-b869-4d78-aa6d-4124a9b7b9de,Caitlin Clark,18.0,20.0,19.0
http://en.wikipedia.org/?curid=4633,List of scandals in India - Notable scandals,6de9f2be-f106-447e-88a3-dc3c523bcf4a,List of political scandals in the United Kingdom,52.0,0.0,20.0
http://en.wikipedia.org/?curid=7037507,Mikołów County - Administrative division,f4c2acea-7eac-4451-b772-7d699042e8d4,Mikołów County,52.0,0.0,20.0
http://en.wikipedia.org/?curid=7037331,Będzin County - Administrative division,5686cfc8-5890-416e-96e2-15a8c34f11f2,Będzin County,50.0,0.0,20.0
http://en.wikipedia.org/?curid=4633,List of scandals in India - Notable scandals,d70482af-c8d9-41cb-84eb-ae12038fc622,List of political scandals in the United Kingdom,52.0,0.0,20.0
http://en.wikipedia.org/?curid=471912,Fleet Air Arm (RAN) - Historic,1cee2f6c-e590-481c-be57-035ed705d64c,List of Fleet Air Arm aircraft squadrons,51.0,0.0,20.0
http://en.wikipedia.org/?curid=473447,"Aplaya, Cabuyao - Demography",02628988-e2af-4276-a5be-4295eb096211,"Santa Rosa, Laguna",35.0,13.0,21.0
http://en.wikipedia.org/?curid=38582667,List of K League 50-50 club members - Members,3b2e4a33-9642-4735-b22c-833d93a005cc,K League,30.0,16.0,21.0
http://en.wikipedia.org/?curid=920596,List of Marshals of the Royal Thai Air Force - List of Marshal of the Royal Thai Air Force,82ed5b1c-b722-4fba-b634-5238ae5ad413,Marshal of the air force,42.0,8.0,21.0
http://en.wikipedia.org/?curid=920596,List of Marshals of the Royal Thai Air Force - List of Marshal of the Royal Thai Air Force,779fe1a5-8969-4dda-be4a-db222263775a,Marshal of the air force,42.0,8.0,21.0
http://en.wikipedia.org/?curid=5883500,Nowy Dwór Gdański County - Administrative division,9365f510-5fc4-475c-996a-b60066fde1d8,"Nowy Dwór County, Pomeranian Voivodeship",56.0,0.0,22.0
http://en.wikipedia.org/?curid=4988227,4Th And Long,832b07e8-eeaf-4633-bb7c-9fed11df4f2a,"Richard Long, 4th Viscount Long",37.0,12.0,22.0
http://en.wikipedia.org/?curid=2586131,Winnipeg North (provincial electoral district) - Members of the Legislative Assembly for Winnipeg North (1949-1958),9cbe5f4d-aec9-426b-b175-02bc475b5a74,Winnipeg North (provincial electoral district),57.0,0.0,22.0
http://en.wikipedia.org/?curid=629561,"Jamie Rhys Clarke - Amateur finals: 5 (2 titles, 3 runner-ups)",226ea0b7-a2dd-4831-8fa5-83fefe8951f4,Saracens F.C.,13.0,31.0,23.0
http://en.wikipedia.org/?curid=434963,Sports in Seattle - Current major professional teams,fe72347f-dc0c-4f6a-a7e2-dda2e78aaea0,List of American and Canadian cities by number of major professional sports franchises,45.0,9.0,23.0
http://en.wikipedia.org/?curid=37137044,Philadelphia Bell - 1975 regular season,0d8774d3-dcf4-48da-98a3-1870c161e911,1975 World Football League season,44.0,10.0,23.0
http://en.wikipedia.org/?curid=1374854,World 'S Busiest Passenger Air Routes,d8090872-627c-401f-83b5-ba9d4b206999,Largest airlines in the world,15.0,30.0,24.0
http://en.wikipedia.org/?curid=8569916,Languages of Canada - Geographic distribution of English–French bilingualism,9d9db74e-cf70-48d1-90b5-40bac1052c05,English language,17.0,29.0,24.0
http://en.wikipedia.org/?curid=2781652,Winnipeg South (provincial electoral district) - Members of the Legislative Assembly for Winnipeg South,a2a5b41b-0e28-4bad-aa31-6efecd59c782,Winnipeg South (provincial electoral district),62.0,0.0,24.0
