id,source file,table title,url
nu-0,csv/203-csv/733.csv,2008 Clásica de San Sebastián,http://en.wikipedia.org/wiki?action=render&curid=17672526&oldid=549195167
nu-1,csv/204-csv/149.csv,World War II casualties of Poland,http://en.wikipedia.org/wiki?action=render&curid=37088665&oldid=601431950
nu-2,csv/203-csv/435.csv,New York Americans (soccer),http://en.wikipedia.org/wiki?action=render&curid=4907594&oldid=601444184
nu-3,csv/204-csv/803.csv,My Brother and Me,http://en.wikipedia.org/wiki?action=render&curid=2662239&oldid=600814704
nu-4,csv/204-csv/272.csv,Sky Track Cycling,http://en.wikipedia.org/wiki?action=render&curid=25501052&oldid=593946345
nu-5,csv/204-csv/483.csv,Hannes Hopley,http://en.wikipedia.org/wiki?action=render&curid=6027330&oldid=598631904
nu-6,csv/203-csv/463.csv,Radhika Pandit,http://en.wikipedia.org/wiki?action=render&curid=19859265&oldid=601160729
nu-7,csv/204-csv/875.csv,2013–14 Toros Mexico season,http://en.wikipedia.org/wiki?action=render&curid=41540747&oldid=598770099
nu-8,csv/203-csv/329.csv,Cheltenham Town F.C.,http://en.wikipedia.org/wiki?action=render&curid=451158&oldid=602121045
nu-9,csv/203-csv/395.csv,Marek Plawgo,http://en.wikipedia.org/wiki?action=render&curid=2913131&oldid=595211163
nu-10,csv/204-csv/645.csv,List of NFC champions,http://en.wikipedia.org/wiki?action=render&curid=20367944&oldid=593759652
nu-11,csv/204-csv/925.csv,2012–13 Exeter City F.C. season,http://en.wikipedia.org/wiki?action=render&curid=36255785&oldid=572287175
nu-12,csv/203-csv/381.csv,Guillermo García-López,http://en.wikipedia.org/wiki?action=render&curid=8352185&oldid=602511463
nu-13,csv/204-csv/797.csv,List of storms on the Great Lakes,http://en.wikipedia.org/wiki?action=render&curid=19069168&oldid=599473217
nu-14,csv/203-csv/128.csv,Portable character set,http://en.wikipedia.org/wiki?action=render&curid=2405344&oldid=601687338
nu-15,csv/203-csv/62.csv,1994 Alabama Crimson Tide football team,http://en.wikipedia.org/wiki?action=render&curid=20657847&oldid=597731934
nu-16,csv/204-csv/892.csv,1999 Dutch TT,http://en.wikipedia.org/wiki?action=render&curid=20136687&oldid=573517334
nu-17,csv/203-csv/402.csv,Love (2011 film),http://en.wikipedia.org/wiki?action=render&curid=4845813&oldid=596219918
