File Name,Error Message

instance_22_v6.json,"list index out of range for template {'template_str': 'How many [date] had passed between when the [source_col_1] was [val_1] and when the [source_col_1] was [val_2]?', 'type': 'date_difference'}"
instance_22_v6.json,"list index out of range for template {'template_str': 'What was the [target_col] when the [source_col_1] [cond_1] and the [source_col_2] [cond_2]?', 'type': 'conjunction'}"
instance_22_v6.json,"list index out of range for template {'template_str': 'How many [target_col] had [source_col_1] [cond_1] and [source_col_2] [cond_2]?', 'type': 'counting_2'}"
instance_22_v6.json,"list index out of range for template {'template_str': 'What was the [operator] of [source_col_1] when the [source_col_2] [cond_2]?', 'type': 'average'}"
instance_22_v6.json,"list index out of range for template {'template_str': 'Which [target_col], with [source_col_1] [cond_1], has the [ordinal] largest [source_col_2]?', 'type': 'numerical_ordinal'}"
instance_22_v6.json,"list index out of range for template {'template_str': 'Which [target_col], with [source_col_1] [cond_1], happened the [ordinal] according to [source_col_2]?', 'type': 'temporal_ordinal'}"
instance_22_v6.json,"String does not contain a date:  for template {'template_str': 'Which [target_col], with [source_col_1] [cond_1], happened the [ordinal] according to [source_col_2]?', 'type': 'temporal_ordinal'}"
instance_22_v6.json,"list index out of range for template {'template_str': 'Does [operator] [target_col], with [source_col_1] [cond_1], have [source_col_2] [cond_2]?', 'type': 'every'}"
instance_22_v6.json,"list index out of range for template {'template_str': 'Does [operator] [target_col], with [source_col_1] [cond_1], have [source_col_2] [cond_2]?', 'type': 'only'}"
instance_22_v6.json,"list index out of range for template {'template_str': 'What was the [operator] of [source_col_1] when the [source_col_2] [cond_2]?', 'type': 'sum'}"
instance_25_v6.json,"list index out of range for template {'template_str': 'How many [target_col] had [source_col_1] [cond_1]?', 'type': 'counting_1'}"
instance_25_v6.json,"list index out of range for template {'template_str': 'What was the [target_col] when the [source_col_1] [cond_1] and the [source_col_2] [cond_2]?', 'type': 'conjunction'}"
instance_25_v6.json,"list index out of range for template {'template_str': 'How many [target_col] had [source_col_1] [cond_1] and [source_col_2] [cond_2]?', 'type': 'counting_2'}"
instance_25_v6.json,"list index out of range for template {'template_str': 'What was the [operator] of [source_col_1] when the [source_col_2] [cond_2]?', 'type': 'average'}"
instance_25_v6.json,"list index out of range for template {'template_str': 'Which [target_col], with [source_col_1] [cond_1], has the [ordinal] largest [source_col_2]?', 'type': 'numerical_ordinal'}"
instance_25_v6.json,"list index out of range for template {'template_str': 'Which [target_col], with [source_col_1] [cond_1], happened the [ordinal] according to [source_col_2]?', 'type': 'temporal_ordinal'}"
instance_25_v6.json,"list index out of range for template {'template_str': 'Does [operator] [target_col], with [source_col_1] [cond_1], have [source_col_2] [cond_2]?', 'type': 'every'}"
instance_25_v6.json,"list index out of range for template {'template_str': 'Does [operator] [target_col], with [source_col_1] [cond_1], have [source_col_2] [cond_2]?', 'type': 'only'}"
instance_25_v6.json,"list index out of range for template {'template_str': 'What was the [operator] of [source_col_1] when the [source_col_2] [cond_2]?', 'type': 'sum'}"
instance_27_v6.json,"list index out of range for template {'template_str': 'How many [target_col] had [source_col_1] [cond_1]?', 'type': 'counting_1'}"
instance_27_v6.json,"list index out of range for template {'template_str': 'What was the [target_col] when the [source_col_1] [cond_1] and the [source_col_2] [cond_2]?', 'type': 'conjunction'}"
instance_27_v6.json,"list index out of range for template {'template_str': 'How many [target_col] had [source_col_1] [cond_1] and [source_col_2] [cond_2]?', 'type': 'counting_2'}"
instance_27_v6.json,"list index out of range for template {'template_str': 'What was the [operator] of [source_col_1] when the [source_col_2] [cond_2]?', 'type': 'average'}"
instance_27_v6.json,"list index out of range for template {'template_str': 'Which [target_col], with [source_col_1] [cond_1], has the [ordinal] largest [source_col_2]?', 'type': 'numerical_ordinal'}"
instance_27_v6.json,"list index out of range for template {'template_str': 'Which [target_col], with [source_col_1] [cond_1], happened the [ordinal] according to [source_col_2]?', 'type': 'temporal_ordinal'}"
instance_27_v6.json,"list index out of range for template {'template_str': 'Does [operator] [target_col], with [source_col_1] [cond_1], have [source_col_2] [cond_2]?', 'type': 'every'}"
instance_27_v6.json,"list index out of range for template {'template_str': 'Does [operator] [target_col], with [source_col_1] [cond_1], have [source_col_2] [cond_2]?', 'type': 'only'}"
instance_27_v6.json,"list index out of range for template {'template_str': 'What was the [operator] of [source_col_1] when the [source_col_2] [cond_2]?', 'type': 'sum'}"
