URL1,URL2
https://en.wikipedia.org/?curid=1615390,https://en.wikipedia.org/wiki/McFarlane Toys
https://en.wikipedia.org/?curid=19299990,https://en.wikipedia.org/wiki/Harzfeld's
https://en.wikipedia.org/?curid=24608625,https://en.wikipedia.org/wiki/Textile Machinery Makers Ltd
https://en.wikipedia.org/?curid=2563123,https://en.wikipedia.org/wiki/Highmark
https://en.wikipedia.org/?curid=32274348,https://en.wikipedia.org/wiki/Waggonfabrik Talbot
https://en.wikipedia.org/?curid=46629856,https://en.wikipedia.org/wiki/Duplass Brothers Productions
https://en.wikipedia.org/?curid=9435571,https://en.wikipedia.org/wiki/Gener8Xion Entertainment
https://en.wikipedia.org/?curid=29816052,https://en.wikipedia.org/wiki/Compagnie du Ponant
https://en.wikipedia.org/?curid=6929851,https://en.wikipedia.org/wiki/Metro-Goldwyn-Mayer Animation
https://en.wikipedia.org/?curid=24471645,https://en.wikipedia.org/wiki/Buzzco Associates
https://en.wikipedia.org/?curid=51416410,https://en.wikipedia.org/wiki/Darracq Motor Engineering Company
https://en.wikipedia.org/?curid=31726278,https://en.wikipedia.org/wiki/Toy Gun Films
https://en.wikipedia.org/?curid=386140,https://en.wikipedia.org/wiki/Spectrum HoloByte
https://en.wikipedia.org/?curid=36801320,https://en.wikipedia.org/wiki/6 Point Harness
https://en.wikipedia.org/?curid=2053009,https://en.wikipedia.org/wiki/SaskTel
https://en.wikipedia.org/?curid=36890459,https://en.wikipedia.org/wiki/Bryna Productions
https://en.wikipedia.org/?curid=64239354,https://en.wikipedia.org/wiki/Page Fifty-Four Pictures
https://en.wikipedia.org/?curid=5804320,https://en.wikipedia.org/wiki/Buffalo Gal Pictures
https://en.wikipedia.org/?curid=33227123,https://en.wikipedia.org/wiki/Global Vectra Helicorp
https://en.wikipedia.org/?curid=39284484,https://en.wikipedia.org/wiki/JustPark
https://en.wikipedia.org/?curid=34150211,https://en.wikipedia.org/wiki/Artematica
https://en.wikipedia.org/?curid=12809671,https://en.wikipedia.org/wiki/Astro Shaw
https://en.wikipedia.org/?curid=13630225,https://en.wikipedia.org/wiki/Ska Studios
https://en.wikipedia.org/?curid=7163239,https://en.wikipedia.org/wiki/CAP Group
https://en.wikipedia.org/?curid=11023350,https://en.wikipedia.org/wiki/Eveready East Africa
https://en.wikipedia.org/?curid=10507864,https://en.wikipedia.org/wiki/Local TV LLC
https://en.wikipedia.org/?curid=17507201,https://en.wikipedia.org/wiki/Times Mirror Company
https://en.wikipedia.org/?curid=49133446,https://en.wikipedia.org/wiki/Tanzania Cigarette Company
https://en.wikipedia.org/?curid=63093656,https://en.wikipedia.org/wiki/Kirkland Lake Gold
https://en.wikipedia.org/?curid=66405685,https://en.wikipedia.org/wiki/Keywords Studios
https://en.wikipedia.org/?curid=63082619,https://en.wikipedia.org/wiki/Hyundai Motor Manufacturing Indonesia
https://en.wikipedia.org/?curid=10610997,https://en.wikipedia.org/wiki/Dignity Health
https://en.wikipedia.org/?curid=31478031,https://en.wikipedia.org/wiki/Afrasia Bank Zimbabwe Limited
https://en.wikipedia.org/?curid=13607094,https://en.wikipedia.org/wiki/Optomen
https://en.wikipedia.org/?curid=46403779,https://en.wikipedia.org/wiki/Personal Flight
https://en.wikipedia.org/?curid=30525735,https://en.wikipedia.org/wiki/Carlson Aircraft
https://en.wikipedia.org/?curid=29166112,https://en.wikipedia.org/wiki/Black Walk
https://en.wikipedia.org/?curid=53294564,https://en.wikipedia.org/wiki/Bliss Media
https://en.wikipedia.org/?curid=31839648,https://en.wikipedia.org/wiki/Colossal Pictures
https://en.wikipedia.org/?curid=57185455,https://en.wikipedia.org/wiki/June Pictures
https://en.wikipedia.org/?curid=26887135,https://en.wikipedia.org/wiki/Urwego Bank
https://en.wikipedia.org/?curid=62574946,https://en.wikipedia.org/wiki/Fijenoord
https://en.wikipedia.org/?curid=21410244,https://en.wikipedia.org/wiki/Stanbic Bank Uganda Limited
https://en.wikipedia.org/?curid=67204720,https://en.wikipedia.org/wiki/Hoorae Media
https://en.wikipedia.org/?curid=64446064,https://en.wikipedia.org/wiki/Mega Cat Studios
https://en.wikipedia.org/?curid=35047916,https://en.wikipedia.org/wiki/Jam City (company)
https://en.wikipedia.org/?curid=32921356,https://en.wikipedia.org/wiki/US Aviation
https://en.wikipedia.org/?curid=290513,https://en.wikipedia.org/wiki/Revolution Software
https://en.wikipedia.org/?curid=1690352,https://en.wikipedia.org/wiki/ARN Media
https://en.wikipedia.org/?curid=16227519,https://en.wikipedia.org/wiki/Radio First
https://en.wikipedia.org/?curid=27976076,https://en.wikipedia.org/wiki/Christianbook
https://en.wikipedia.org/?curid=27396872,https://en.wikipedia.org/wiki/Subaru Industrial Power Products
