Name,URL1,URL2,First Category
Faye Dunaway,https://fr.wikipedia.org/?curid=186136,https://fr.wikipedia.org/wiki/Faye Dunaway,Article utilisant une Infobox
Indiana Jones et le Myst\u00e8re de l'Atlantide,https://fr.wikipedia.org/?curid=186435,https://fr.wikipedia.org/wiki/Indiana Jones et le Myst\u00e8re de l'Atlantide,Page utilisant des donn\u00e9es de Wikidata \u00e0 traduire de l'anglais
Kenia Sinclair,https://fr.wikipedia.org/?curid=1868194,https://fr.wikipedia.org/wiki/Kenia Sinclair,Wikip\u00e9dia:\u00e9bauche athl\u00e8te jama\u00efcain
Ana Johnsson,https://fr.wikipedia.org/?curid=1869757,https://fr.wikipedia.org/wiki/Ana Johnsson,Article utilisant une Infobox
Andreja Mali,https://fr.wikipedia.org/?curid=1869880,https://fr.wikipedia.org/wiki/Andreja Mali,Wikip\u00e9dia:\u00e9bauche biathlon
Teja Gregorin,https://fr.wikipedia.org/?curid=1869881,https://fr.wikipedia.org/wiki/Teja Gregorin,Article utilisant une Infobox
Sara Battaglia,https://fr.wikipedia.org/?curid=1879831,https://fr.wikipedia.org/wiki/Sara Battaglia,Article contenant un lien mort
Hind Dehiba,https://fr.wikipedia.org/?curid=1865199,https://fr.wikipedia.org/wiki/Hind Dehiba,Article utilisant une Infobox
Zhao Xue,https://fr.wikipedia.org/?curid=1736040,https://fr.wikipedia.org/wiki/Zhao Xue,Page utilisant P1559
Ur\u0161ka \u017dolnir,https://fr.wikipedia.org/?curid=1756210,https://fr.wikipedia.org/wiki/Ur\u0161ka \u017dolnir,Article utilisant une Infobox
Lorena Ochoa,https://fr.wikipedia.org/?curid=1760560,https://fr.wikipedia.org/wiki/Lorena Ochoa,Article utilisant une Infobox
Marianne (magazine),https://fr.wikipedia.org/?curid=175883,https://fr.wikipedia.org/wiki/Marianne (magazine),Article utilisant une Infobox
Marianne (timbre-poste),https://fr.wikipedia.org/?curid=175947,https://fr.wikipedia.org/wiki/Marianne (timbre-poste),Portail:Philat\u00e9lie/Articles li\u00e9s
Jodie Sweetin,https://fr.wikipedia.org/?curid=1759894,https://fr.wikipedia.org/wiki/Jodie Sweetin,Wikip\u00e9dia:\u00e9bauche acteur am\u00e9ricain
Stanislas-Andr\u00e9 Steeman,https://fr.wikipedia.org/?curid=177044,https://fr.wikipedia.org/wiki/Stanislas-Andr\u00e9 Steeman,Article utilisant une Infobox
Day of the Tentacle,https://fr.wikipedia.org/?curid=177059,https://fr.wikipedia.org/wiki/Day of the Tentacle,Page utilisant P407
Lucia Morico,https://fr.wikipedia.org/?curid=1701595,https://fr.wikipedia.org/wiki/Lucia Morico,Wikip\u00e9dia:\u00e9bauche judo
Sushmita Sen,https://fr.wikipedia.org/?curid=1711957,https://fr.wikipedia.org/wiki/Sushmita Sen,Page utilisant P1559
Emanuela Pierantozzi,https://fr.wikipedia.org/?curid=1711008,https://fr.wikipedia.org/wiki/Emanuela Pierantozzi,Wikip\u00e9dia:\u00e9bauche judo
Hayley Westenra,https://fr.wikipedia.org/?curid=1786617,https://fr.wikipedia.org/wiki/Hayley Westenra,R\u00e9daction \u00e0 am\u00e9liorer
Jacques Audiard,https://fr.wikipedia.org/?curid=173409,https://fr.wikipedia.org/wiki/Jacques Audiard,Page utilisant P569
Cristie Kerr,https://fr.wikipedia.org/?curid=1722544,https://fr.wikipedia.org/wiki/Cristie Kerr,Wikip\u00e9dia:\u00e9bauche golf
Michelle Akers,https://fr.wikipedia.org/?curid=1723336,https://fr.wikipedia.org/wiki/Michelle Akers,Article \u00e0 illustrer Footballeur
Grace Roosevelt,https://fr.wikipedia.org/?curid=1723396,https://fr.wikipedia.org/wiki/Grace Roosevelt,Article \u00e0 illustrer Joueur de tennis
Christine Amertil,https://fr.wikipedia.org/?curid=1702336,https://fr.wikipedia.org/wiki/Christine Amertil,Wikip\u00e9dia:\u00e9bauche athl\u00e8te baham\u00e9en
Fernande Arendt,https://fr.wikipedia.org/?curid=1714842,https://fr.wikipedia.org/wiki/Fernande Arendt,Page utilisant P569
Eugenia Birioukova,https://fr.wikipedia.org/?curid=1714850,https://fr.wikipedia.org/wiki/Eugenia Birioukova,Article \u00e0 illustrer Joueur de tennis
Edith Sigourney,https://fr.wikipedia.org/?curid=1714852,https://fr.wikipedia.org/wiki/Edith Sigourney,Article utilisant une Infobox
Elizabeth Rastall,https://fr.wikipedia.org/?curid=1714853,https://fr.wikipedia.org/wiki/Elizabeth Rastall,Article \u00e0 illustrer Joueur de tennis
Marjorie Blackwood,https://fr.wikipedia.org/?curid=1675536,https://fr.wikipedia.org/wiki/Marjorie Blackwood,Article \u00e0 illustrer Joueur de tennis
Belva Plain,https://fr.wikipedia.org/?curid=1670291,https://fr.wikipedia.org/wiki/Belva Plain,Article utilisant une Infobox
Tatjana Maria,https://fr.wikipedia.org/?curid=1684518,https://fr.wikipedia.org/wiki/Tatjana Maria,Article utilisant une Infobox
Alberta Brianti,https://fr.wikipedia.org/?curid=1684548,https://fr.wikipedia.org/wiki/Alberta Brianti,Article utilisant une Infobox
Tzipora Obziler,https://fr.wikipedia.org/?curid=1684595,https://fr.wikipedia.org/wiki/Tzipora Obziler,Article utilisant une Infobox
Ilse Heylen,https://fr.wikipedia.org/?curid=1684677,https://fr.wikipedia.org/wiki/Ilse Heylen,Article utilisant une Infobox
Kate Howey,https://fr.wikipedia.org/?curid=1684856,https://fr.wikipedia.org/wiki/Kate Howey,Page utilisant P569
Tori Amos,https://fr.wikipedia.org/?curid=161177,https://fr.wikipedia.org/wiki/Tori Amos,Article utilisant une Infobox
Big Fish (film),https://fr.wikipedia.org/?curid=165589,https://fr.wikipedia.org/wiki/Big Fish (film),Article utilisant une Infobox
Pierre Aidenbaum,https://fr.wikipedia.org/?curid=1657783,https://fr.wikipedia.org/wiki/Pierre Aidenbaum,Article utilisant une Infobox
YUI,https://fr.wikipedia.org/?curid=1676011,https://fr.wikipedia.org/wiki/YUI,Page au nom prot\u00e9g\u00e9
Fr\u00e9d\u00e9ric Belaubre,https://fr.wikipedia.org/?curid=1616915,https://fr.wikipedia.org/wiki/Fr\u00e9d\u00e9ric Belaubre,Article utilisant une Infobox
Marie-Am\u00e9lie Seigner,https://fr.wikipedia.org/?curid=1617735,https://fr.wikipedia.org/wiki/Marie-Am\u00e9lie Seigner,Article manquant de r\u00e9f\u00e9rences depuis d\u00e9cembre 2017
Juhi Chawla,https://fr.wikipedia.org/?curid=1617082,https://fr.wikipedia.org/wiki/Juhi Chawla,Article manquant de r\u00e9f\u00e9rences depuis novembre 2009
Shilpa Shetty,https://fr.wikipedia.org/?curid=1617170,https://fr.wikipedia.org/wiki/Shilpa Shetty,Page utilisant P106
Liste des m\u00e9daill\u00e9s olympiques masculins en judo,https://fr.wikipedia.org/?curid=1609198,https://fr.wikipedia.org/wiki/Liste des m\u00e9daill\u00e9s olympiques masculins en judo,Portail:Jeux olympiques/Articles li\u00e9s
Jenny Staley,https://fr.wikipedia.org/?curid=1675775,https://fr.wikipedia.org/wiki/Jenny Staley,Article utilisant une Infobox
Suzann Pettersen,https://fr.wikipedia.org/?curid=1674350,https://fr.wikipedia.org/wiki/Suzann Pettersen,Article utilisant une Infobox
Anne Keothavong,https://fr.wikipedia.org/?curid=1686113,https://fr.wikipedia.org/wiki/Anne Keothavong,Article utilisant une Infobox
Kim Campbell,https://fr.wikipedia.org/?curid=168810,https://fr.wikipedia.org/wiki/Kim Campbell,Page utilisant des arguments dupliqu\u00e9s dans les appels de mod\u00e8le
Alisa Kleybanova,https://fr.wikipedia.org/?curid=1686713,https://fr.wikipedia.org/wiki/Alisa Kleybanova,Article contenant un lien mort
Isabelle Guion de M\u00e9ritens,https://fr.wikipedia.org/?curid=1680903,https://fr.wikipedia.org/wiki/Isabelle Guion de M\u00e9ritens,Article utilisant une Infobox
Mikele Barber,https://fr.wikipedia.org/?curid=1927740,https://fr.wikipedia.org/wiki/Mikele Barber,Wikip\u00e9dia:\u00e9bauche athl\u00e8te am\u00e9ricain
Nicola Sanders,https://fr.wikipedia.org/?curid=1925449,https://fr.wikipedia.org/wiki/Nicola Sanders,Article utilisant une Infobox
