Name,URL1,URL2,First Category
Sahar Moghadass,https://fr.wikipedia.org/?curid=14199153,https://fr.wikipedia.org/wiki/Sahar Moghadass,Recension temporaire pour le mod\u00e8le Ouvrage
Liudmila Samsonova,https://fr.wikipedia.org/?curid=14203356,https://fr.wikipedia.org/wiki/Liudmila Samsonova,Article utilisant une Infobox
Judith Collins,https://fr.wikipedia.org/?curid=14250722,https://fr.wikipedia.org/wiki/Judith Collins,Article contenant un appel \u00e0 traduction en anglais
Paul Georgenthum,https://fr.wikipedia.org/?curid=14249141,https://fr.wikipedia.org/wiki/Paul Georgenthum,Wikip\u00e9dia:\u00e9bauche triathl\u00e8te
Simon Viain,https://fr.wikipedia.org/?curid=14249487,https://fr.wikipedia.org/wiki/Simon Viain,Wikip\u00e9dia:\u00e9bauche triathl\u00e8te
Giulia Donato,https://fr.wikipedia.org/?curid=14105394,https://fr.wikipedia.org/wiki/Giulia Donato,Page utilisant P569
Nancy Chaffee,https://fr.wikipedia.org/?curid=1410497,https://fr.wikipedia.org/wiki/Nancy Chaffee,Article \u00e0 illustrer Joueur de tennis
Nancy Lyle,https://fr.wikipedia.org/?curid=1410175,https://fr.wikipedia.org/wiki/Nancy Lyle,Article \u00e0 illustrer Joueur de tennis
Marianne d'Alger,https://fr.wikipedia.org/?curid=142225,https://fr.wikipedia.org/wiki/Marianne d'Alger,Article \u00e0 illustrer Timbre
Hanna-Elisabeth M\u00fcller,https://fr.wikipedia.org/?curid=14847138,https://fr.wikipedia.org/wiki/Hanna-Elisabeth M\u00fcller,Page utilisant P569
Carolyn Krau,https://fr.wikipedia.org/?curid=14854032,https://fr.wikipedia.org/wiki/Carolyn Krau,Article \u00e0 illustrer Patineur artistique
Jean Walker-Smith,https://fr.wikipedia.org/?curid=14871718,https://fr.wikipedia.org/wiki/Jean Walker-Smith,Article \u00e0 illustrer Joueur de tennis
Varvara Gracheva,https://fr.wikipedia.org/?curid=14992539,https://fr.wikipedia.org/wiki/Varvara Gracheva,Article utilisant une Infobox
L\u00e9olia Jeanjean,https://fr.wikipedia.org/?curid=14995731,https://fr.wikipedia.org/wiki/L\u00e9olia Jeanjean,Article utilisant une Infobox
Zhang Yuxi,https://fr.wikipedia.org/?curid=14995926,https://fr.wikipedia.org/wiki/Zhang Yuxi,Article \u00e0 wikifier depuis mai 2022
Janee Kassanavoid,https://fr.wikipedia.org/?curid=14989830,https://fr.wikipedia.org/wiki/Janee Kassanavoid,Wikip\u00e9dia:\u00e9bauche athl\u00e9tisme
Mah\u00e9 Mauriat,https://fr.wikipedia.org/?curid=14984497,https://fr.wikipedia.org/wiki/Mah\u00e9 Mauriat,Article \u00e0 illustrer Joueur de volley-ball
Sabine Haewegene,https://fr.wikipedia.org/?curid=14984188,https://fr.wikipedia.org/wiki/Sabine Haewegene,Article \u00e0 illustrer Joueur de volley-ball
Malini Senehelatha Fonseka,https://fr.wikipedia.org/?curid=14980007,https://fr.wikipedia.org/wiki/Malini Senehelatha Fonseka,Page utilisant P569
Ataru Nakamura,https://fr.wikipedia.org/?curid=15007102,https://fr.wikipedia.org/wiki/Ataru Nakamura,Article utilisant une Infobox
Di mi nombre,https://fr.wikipedia.org/?curid=15006009,https://fr.wikipedia.org/wiki/Di mi nombre,Wikip\u00e9dia:\u00e9bauche chanson
Rose Matafeo,https://fr.wikipedia.org/?curid=15006396,https://fr.wikipedia.org/wiki/Rose Matafeo,Article \u00e0 wikifier depuis mai 2022
Manoel Messias,https://fr.wikipedia.org/?curid=15005459,https://fr.wikipedia.org/wiki/Manoel Messias,Wikip\u00e9dia:\u00e9bauche triathl\u00e8te
Valerie Barthelemy,https://fr.wikipedia.org/?curid=15005464,https://fr.wikipedia.org/wiki/Valerie Barthelemy,Wikip\u00e9dia:\u00e9bauche triathl\u00e8te
Marole Tchamba,https://fr.wikipedia.org/?curid=15007648,https://fr.wikipedia.org/wiki/Marole Tchamba,Page utilisant P19
Ismahane Lahmar,https://fr.wikipedia.org/?curid=14974077,https://fr.wikipedia.org/wiki/Ismahane Lahmar,Page utilisant P569
Liste des comtesses et duchesses de Cornouailles,https://fr.wikipedia.org/?curid=14974533,https://fr.wikipedia.org/wiki/Liste des comtesses et duchesses de Cornouailles,Portail:Monarchie/Articles li\u00e9s
Conjoint du premier ministre du Canada,https://fr.wikipedia.org/?curid=14974621,https://fr.wikipedia.org/wiki/Conjoint du premier ministre du Canada,Article utilisant une Infobox
Alina Lysenko,https://fr.wikipedia.org/?curid=14961959,https://fr.wikipedia.org/wiki/Alina Lysenko,Page utilisant P1813
Blandine Tona,https://fr.wikipedia.org/?curid=14960182,https://fr.wikipedia.org/wiki/Blandine Tona,Article manquant de r\u00e9f\u00e9rences depuis mai 2022
Daniel B\u00e6kkeg\u00e5rd,https://fr.wikipedia.org/?curid=14877528,https://fr.wikipedia.org/wiki/Daniel B\u00e6kkeg\u00e5rd,Wikip\u00e9dia:\u00e9bauche triathl\u00e8te
