TableNum,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6
0,UNKNOWN,PERSON,UNKNOWN,DATE,UNKNOWN,
1,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,
2,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,
3,UNKNOWN,PERSON,UNKNOWN,DATE,UNKNOWN,
4,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
5,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,
6,UNKNOWN,PERSON,UNKNOWN,WORK_OF_ART,UNKNOWN,
7,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,
8,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,
9,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,
10,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,
11,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,
12,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,
13,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,
14,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
15,UNKNOWN,PERSON,PERSON,UNKNOWN,UNKNOWN,UNKNOWN
