TableNum,column_number,column_type_1,column_type_2,column_type_3,column_type_4,column_type_5,column_type_6,column_type_7,key column
0,7,ORDINAL,TYPOGRAPHICAL ELEMENT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2
1,7,ORDINAL,TYPOGRAPHICAL ELEMENT,UNKNOWN,RANGE,UNKNOWN,UNKNOWN,PERSON,2
2,7,ORDINAL,TYPOGRAPHICAL ELEMENT,PERSON,RANGE,UNKNOWN,UNKNOWN,UNKNOWN,2
3,7,ORDINAL,TYPOGRAPHICAL ELEMENT,UNKNOWN,RANGE,UNKNOWN,UNKNOWN,UNKNOWN,2
4,7,ORDINAL,TYPOGRAPHICAL ELEMENT,UNKNOWN,RANGE,WORK_OF_ART,UNKNOWN,UNKNOWN,2
5,7,ORDINAL,TYPOGRAPHICAL ELEMENT,UNKNOWN,RANGE,FAC,UNKNOWN,PERSON,2
6,7,ORDINAL,TYPOGRAPHICAL ELEMENT,UNKNOWN,RANGE,PERSON,UNKNOWN,PERSON,2
7,7,ORDINAL,UNKNOWN,UNKNOWN,RANGE,PERSON,UNKNOWN,UNKNOWN,1
8,7,CARDINAL,PERSON,GPE,datetime,PERSON,UNKNOWN,TYPOGRAPHICAL ELEMENT,1
9,7,ORDINAL,PERSON,GPE,RANGE,PERSON,UNKNOWN,TYPOGRAPHICAL ELEMENT,1
10,7,ORDINAL,TYPOGRAPHICAL ELEMENT,UNKNOWN,UNKNOWN,PERSON,UNKNOWN,TYPOGRAPHICAL ELEMENT,2
11,7,ORDINAL,PERSON,UNKNOWN,RANGE,PERSON,UNKNOWN,TYPOGRAPHICAL ELEMENT,1
12,7,ORDINAL,TYPOGRAPHICAL ELEMENT,GPE,RANGE,PERSON,UNKNOWN,TYPOGRAPHICAL ELEMENT,2
