pid_label,pid,count,examples
award received,P166,23,"Sarah Michelle Gellar, Elizabeth Taylor, Liste des médaillés olympiques en équitation, Emma Watson"
spouse,P26,10,"Liste des épouses et compagnes des présidents de la République française, Liste des conjoints des souverains de Naples, Louise Dupin"
winner,P1346,7,"Garbiñe Muguruza, Liste des femmes pilotes aux 24 Heures du Mans, Allyson Felix, Elizabeth Taylor, Samantha Stosur"
noble title,P97,6,"Liste des grandes-duchesses et des princesses de Russie, Liste des reines de Norvège"
number of matches played/races/starts,P1350,6,"Liste des femmes pilotes aux 24 Heures du Mans, Corinne Diacre"
ranking,P1352,6,"Rachida Dati, Liste des femmes pilotes aux 24 Heures du Mans, Allyson Felix"
participant in,P1344,5,"Garbiñe Muguruza, Liste des femmes pilotes aux 24 Heures du Mans, Corinne Diacre"
instance of,P31,5,"Liste des épouses et compagnes des présidents de la République française, Liste des femmes astronautes, Liste des femmes pilotes aux 24 Heures du Mans"
performer,P175,5,"Kim Yoo-jung, Liste des femmes astronautes, Elizabeth Taylor"
publisher,P123,4,Sammi Cheng
nominated for,P1411,4,"Sarah Michelle Gellar, Emma Watson"
point in time,P585,4,Allyson Felix
competition won,P2522,4,Samantha Stosur
start time,P580,3,"Elizabeth Taylor, Rachida Dati"
astronaut mission,P450,3,Liste des femmes astronautes
mother,P25,3,Liste des conjoints des souverains de Naples
votes received,P1111,3,Cécile Duflot
country of citizenship,P27,2,Liste des reines de Norvège
duration,P2047,2,Liste des reines de Norvège
number of wins,P1355,2,Corinne Diacre
number of losses,P1356,2,Corinne Diacre
number of draws/ties,P1357,2,Corinne Diacre
number of points/goals/set scored,P1351,2,Corinne Diacre
founded by,P112,2,Liste des dames et princesses de Joinville
issued by,P2378,2,Liste des conjoints des souverains de Naples
candidacy in election,P3602,2,Rachida Dati
successful candidate,P991,2,Cécile Duflot
partner in business or sport,P1327,2,Samantha Stosur
position holder,P1308,1,Corinne Diacre
replaced by,P1366,1,Corinne Diacre
has goal,P3712,1,Liste des épouses et compagnes des présidents de la République française
child,P40,1,Louise Dupin
operating income,P3362,1,Elizabeth Taylor
director,P57,1,Elizabeth Taylor
item operated,P121,1,Liste des femmes astronautes
sibling,P3373,1,Liste des conjoints des souverains de Naples
prisoner count,P5630,1,Liste des conjoints des souverains de Naples
elected in,P2715,1,Rachida Dati
finisher,P10729,1,Allyson Felix
