pid_label,pid,count,examples
diplomatic relation,P530,32732,"['<Australia, diplomatic relation, Nigeria>', '<Australia, diplomatic relation, Qatar>', '<Australia, diplomatic relation, Sri Lanka>', '<Australia, diplomatic relation, Uganda>', '<Australia, diplomatic relation, Estonia>']"
sibling,P3373,17920,"[""<Alexandre-Louis d'Orléans, sibling, Élisabeth Charlotte of Orléans>"", ""<Alexandre-Louis d'Orléans, sibling, Philippe, Duke of Orléans, Regent of France>"", ""<Louise Diane d'Orléans, sibling, Marie Louise Élisabeth d'Orléans>"", ""<Louise Diane d'Orléans, sibling, Louis d'Orléans, Duke of Orléans>"", ""<Louise Diane d'Orléans, sibling, Louise Adélaïde d'Orléans>""]"
country,P17,15219,"['<Anscarids, country, Holy Roman Empire>', '<Champagne, country, France>', '<House of Valois, country, Kingdom of France>', '<House of La Marck, country, Holy Roman Empire>', '<House of Zähringen, country, Germany>']"
country of citizenship,P27,13312,"[""<Alexandre-Louis d'Orléans, country of citizenship, France>"", ""<Louise Diane d'Orléans, country of citizenship, France>"", '<Gaston, Duke of Orléans, country of citizenship, France>', '<Marguerite of Lorraine, country of citizenship, France>', '<Henry III of Vaudémont, country of citizenship, France>']"
child,P40,12697,"[""<Gaston, Duke of Orléans, child, Françoise Madeleine d'Orléans>"", ""<Gaston, Duke of Orléans, child, Anne Marie Louise d'Orléans>"", ""<Gaston, Duke of Orléans, child, Élisabeth Marguerite d'Orléans>"", ""<Gaston, Duke of Orléans, child, Marguerite Louise d'Orléans>"", ""<Marguerite of Lorraine, child, Françoise Madeleine d'Orléans>""]"
occupation,P106,12285,"['<Gaston, Duke of Orléans, occupation, politician>', '<Louis-Philippe I, occupation, politician>', '<Charles I Louis, Elector Palatine, occupation, statesperson>', '<Charles I Louis, Elector Palatine, occupation, politician>', ""<Ercole II d'Este, Duke of Ferrara, occupation, politician>""]"
"languages spoken, written or signed",P1412,11590,"[""<Alexandre-Louis d'Orléans, languages spoken, written or signed, French>"", ""<Louise Diane d'Orléans, languages spoken, written or signed, French>"", '<Gaston, Duke of Orléans, languages spoken, written or signed, French>', '<Marguerite of Lorraine, languages spoken, written or signed, French>', '<Henry III of Vaudémont, languages spoken, written or signed, French>']"
twinned administrative body,P190,11216,"['<Melbourne, twinned administrative body, Milan>', '<Atlanta, twinned administrative body, Brussels metropolitan area>', '<Atlanta, twinned administrative body, Salzburg>', '<Atlanta, twinned administrative body, Bucharest>', '<Atlanta, twinned administrative body, Taipei>']"
participant in,P1344,8740,"['<Louise Marie Adélaïde de Bourbon, participant in, French Revolution>', '<Australia, participant in, Iraq War>', '<Australia, participant in, War in Afghanistan>', '<Australia, participant in, Gulf War>', '<Australia, participant in, Vietnam War>']"
sport,P641,7739,"['<Juana I of Castile, sport, equestrianism>', '<Kobe Bryant, sport, basketball>', '<J. Cole, sport, basketball>', '<The O2 Arena, sport, tennis>', '<No label, sport, cycling>']"
shares border with,P47,6116,"['<Haute-Marne, shares border with, Vosges>', '<Crown of Aragon, shares border with, Kingdom of France>', '<Crown of Aragon, shares border with, Kingdom of Navarre>', '<Australia, shares border with, Papua New Guinea>', '<Australia, shares border with, New Zealand>']"
