Name,URL1,URL2,First Category
Léon Chevalier,https://fr.wikipedia.org/?curid=14480315,https://fr.wikipedia.org/wiki/Léon Chevalier,Article à illustrer Sportif
Edina Gallovits,https://fr.wikipedia.org/?curid=1441811,https://fr.wikipedia.org/wiki/Edina Gallovits,Article utilisant une Infobox
Débora Menezes,https://fr.wikipedia.org/?curid=14425682,https://fr.wikipedia.org/wiki/Débora Menezes,Article utilisant une Infobox
Khwansuda Phuangkitcha,https://fr.wikipedia.org/?curid=14425699,https://fr.wikipedia.org/wiki/Khwansuda Phuangkitcha,Article à illustrer Sportif
Nonante-cinq (album),https://fr.wikipedia.org/?curid=14426252,https://fr.wikipedia.org/wiki/Nonante-cinq (album),Article utilisant une Infobox
Sarah Boudaoud,https://fr.wikipedia.org/?curid=14426473,https://fr.wikipedia.org/wiki/Sarah Boudaoud,Article à illustrer Footballeur
Sylia Koui,https://fr.wikipedia.org/?curid=14427757,https://fr.wikipedia.org/wiki/Sylia Koui,Article à illustrer Footballeur
Jade Defraeye,https://fr.wikipedia.org/?curid=14405311,https://fr.wikipedia.org/wiki/Jade Defraeye,Article à illustrer Joueur de volley-ball
Chloé N'Gazi,https://fr.wikipedia.org/?curid=14424811,https://fr.wikipedia.org/wiki/Chloé N'Gazi,Article à illustrer Footballeur
Leo Ieiri,https://fr.wikipedia.org/?curid=14424987,https://fr.wikipedia.org/wiki/Leo Ieiri,Article utilisant une Infobox
Linda (chanteuse),https://fr.wikipedia.org/?curid=14420594,https://fr.wikipedia.org/wiki/Linda (chanteuse),Traduction à revoir
Alesia Stepaniuk,https://fr.wikipedia.org/?curid=14420958,https://fr.wikipedia.org/wiki/Alesia Stepaniuk,Article à illustrer Judoka
Nafisa Sheripboeva,https://fr.wikipedia.org/?curid=14421041,https://fr.wikipedia.org/wiki/Nafisa Sheripboeva,Article utilisant une Infobox
Carolina Costa,https://fr.wikipedia.org/?curid=14421770,https://fr.wikipedia.org/wiki/Carolina Costa,Article utilisant une Infobox
Nataliya Nikolaychyk,https://fr.wikipedia.org/?curid=14422349,https://fr.wikipedia.org/wiki/Nataliya Nikolaychyk,Article à illustrer Judoka
Skye Moench,https://fr.wikipedia.org/?curid=14329389,https://fr.wikipedia.org/wiki/Skye Moench,Article utilisant une Infobox
